board
"[[None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, 'Destroyer', 'Destroyer', None], [None, None, None, 'Battleship', None, 'Submarine', 'Submarine', 'Submarine', None, None], [None, None, None, 'Battleship', None, None, None, None, None, None], [None, None, None, 'Battleship', 'Cruiser', 'Cruiser', 'Cruiser', None, None, None], [None, None, None, 'Battleship', None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None], [None, 'Cruiser', 'Cruiser', 'Cruiser', 'Destroyer', 'Destroyer', None, None, None, None], [None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], ['Cruiser', None, None, None, None, 'Aircraft_Carrier', None, None, None, None], ['Cruiser', None, None, None, None, 'Aircraft_Carrier', None, None, None, None], ['Cruiser', None, None, None, 'Destroyer', None, 'Submarine', 'Submarine', 'Submarine', None], [None, None, None, None, 'Destroyer', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[['Submarine', 'Submarine', 'Submarine', 'Battleship', None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier'], [None, None, None, 'Battleship', None, None, None, None, None, None], [None, None, None, 'Battleship', None, None, None, None, None, None], [None, None, None, 'Battleship', None, None, None, None, None, None], [None, None, 'Destroyer', 'Destroyer', None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine', None, None], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, 'Cruiser'], [None, None, 'Aircraft_Carrier', None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, 'Cruiser'], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, 'Cruiser'], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, None, 'Destroyer', None, None, None, None], [None, None, None, None, None, 'Destroyer', None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[['Destroyer', None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier'], ['Destroyer', None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None, 'Cruiser', None], [None, None, None, None, None, None, None, None, 'Cruiser', None], [None, None, None, None, None, None, None, None, 'Cruiser', None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None]]"
"[[None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Submarine', 'Submarine', 'Submarine', None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, None, 'Destroyer', 'Destroyer']]"
"[[None, None, 'Destroyer', 'Destroyer', None, None, None, None, None, None], [None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Submarine', None, None, None, 'Battleship'], [None, None, None, None, None, 'Submarine', None, None, None, 'Battleship'], [None, None, None, None, None, 'Submarine', None, None, None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, 'Destroyer', None, None, None, None, None], [None, None, None, None, 'Destroyer', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Battleship', None, None, None, None, None, None], [None, None, None, 'Battleship', 'Cruiser', None, None, 'Submarine', None, None], [None, None, None, 'Battleship', 'Cruiser', None, None, 'Submarine', None, None], [None, None, None, 'Battleship', 'Cruiser', None, None, 'Submarine', None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None, None], ['Battleship', None, None, None, None, None, None, None, None, None], ['Battleship', None, None, 'Cruiser', None, 'Aircraft_Carrier', None, None, None, None], ['Battleship', None, None, 'Cruiser', None, 'Aircraft_Carrier', 'Destroyer', None, None, None], ['Battleship', None, None, 'Cruiser', None, 'Aircraft_Carrier', 'Destroyer', None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[['Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, 'Destroyer', 'Destroyer'], [None, None, None, None, None, None, None, 'Submarine', None, None], ['Battleship', 'Battleship', 'Battleship', 'Battleship', 'Cruiser', 'Cruiser', 'Cruiser', 'Submarine', None, None], [None, None, None, None, None, None, None, 'Submarine', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None, None], [None, 'Submarine', None, None, None, None, None, None, None, None], [None, 'Submarine', None, 'Cruiser', None, None, None, None, None, None], [None, 'Submarine', None, 'Cruiser', 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None], [None, None, None, 'Cruiser', None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, 'Destroyer'], [None, None, None, None, None, None, None, None, None, 'Destroyer']]"
"[[None, None, None, None, None, None, None, None, 'Destroyer', 'Destroyer'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, 'Submarine', None, None], [None, None, 'Battleship', None, None, None, None, 'Submarine', None, None], [None, None, 'Battleship', None, None, None, None, 'Submarine', None, None], [None, None, 'Battleship', None, None, None, None, None, None, None], [None, None, 'Battleship', None, None, None, None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser']]"
"[[None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, 'Battleship', 'Cruiser', None], [None, 'Aircraft_Carrier', None, None, None, None, None, 'Battleship', 'Cruiser', None], [None, 'Aircraft_Carrier', None, None, None, None, None, 'Battleship', 'Cruiser', None], [None, 'Aircraft_Carrier', None, None, None, None, None, 'Battleship', None, None], [None, None, None, None, None, None, None, None, None, 'Destroyer'], [None, None, None, None, None, None, None, None, None, 'Destroyer'], [None, None, None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine', None], [None, None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, None], [None, None, 'Destroyer', 'Destroyer', 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None]]"
"[[None, None, None, None, None, None, 'Submarine', None, None, None], [None, None, None, None, None, None, 'Submarine', None, None, None], [None, None, None, None, None, None, 'Submarine', None, None, None], [None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, 'Destroyer', None, 'Battleship'], [None, None, None, None, None, None, None, 'Destroyer', None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Submarine', 'Submarine', 'Submarine', None, None, None, 'Battleship', None, None, None], ['Destroyer', None, None, None, None, None, 'Battleship', None, None, None], ['Destroyer', None, None, None, None, None, 'Battleship', None, None, None], [None, None, None, None, None, None, 'Battleship', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None], [None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, 'Cruiser', None, None, None, None, None, None, None], [None, None, 'Cruiser', None, None, None, None, None, None, None], [None, None, 'Cruiser', None, None, None, None, None, None, None], [None, 'Submarine', 'Submarine', 'Submarine', None, 'Aircraft_Carrier', None, None, None, None], [None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, 'Destroyer', 'Destroyer', None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None, None], ['Destroyer', None, None, None, None, None, None, None, None, None], ['Destroyer', None, None, None, None, None, None, None, None, None], ['Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, 'Battleship', None], [None, None, None, None, 'Submarine', None, None, None, 'Battleship', None], [None, None, None, None, 'Submarine', None, None, None, 'Battleship', None], [None, None, None, None, 'Submarine', None, None, None, 'Battleship', None]]"
"[[None, 'Battleship', None, None, None, None, None, None, None, None], [None, 'Battleship', None, None, None, None, None, None, None, None], [None, 'Battleship', None, None, None, None, None, None, None, None], [None, 'Battleship', None, None, None, None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, 'Submarine', 'Submarine', 'Submarine', None, None, None], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, None], ['Destroyer', 'Destroyer', None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser']]"
"[[None, None, None, 'Battleship', None, None, None, None, 'Aircraft_Carrier', None], [None, None, None, 'Battleship', None, None, None, None, 'Aircraft_Carrier', None], [None, None, None, 'Battleship', None, None, None, None, 'Aircraft_Carrier', None], [None, None, None, 'Battleship', None, None, None, None, 'Aircraft_Carrier', None], [None, None, None, None, None, None, 'Cruiser', None, 'Aircraft_Carrier', None], [None, None, None, None, None, None, 'Cruiser', None, None, None], [None, None, None, None, None, 'Submarine', 'Cruiser', None, None, None], [None, None, None, None, None, 'Submarine', None, None, None, None], [None, None, None, None, None, 'Submarine', None, None, None, None], [None, None, None, 'Destroyer', 'Destroyer', None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, 'Battleship', None, None], [None, None, None, None, None, None, None, 'Battleship', None, None], [None, None, None, None, None, None, None, 'Battleship', None, None], [None, None, 'Destroyer', None, None, None, None, 'Battleship', None, None], [None, None, 'Destroyer', None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None], [None, None, None, None, None, None, None, None, None, None], ['Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None, None], [None, None, None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine']]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Cruiser', 'Cruiser', 'Cruiser', None, None, 'Submarine', 'Submarine', 'Submarine', None, None], ['Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None, None], [None, None, 'Destroyer', 'Destroyer', None, None, None, None, None, None], [None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[['Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Destroyer', 'Destroyer', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, 'Battleship', None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, 'Battleship', None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, 'Battleship', 'Submarine', None], [None, None, None, None, None, 'Aircraft_Carrier', None, 'Battleship', 'Submarine', None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, 'Submarine', None]]"
"[[None, None, None, None, 'Battleship', None, None, None, None, None], [None, None, None, None, 'Battleship', None, None, None, None, None], [None, None, None, None, 'Battleship', None, None, None, None, None], [None, None, None, None, 'Battleship', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Submarine', 'Submarine', 'Submarine', 'Destroyer', 'Destroyer', None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, None, 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, None, 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, None, 'Aircraft_Carrier', None, 'Submarine', None], [None, None, None, None, None, 'Destroyer', 'Aircraft_Carrier', None, 'Submarine', None], [None, None, None, None, None, 'Destroyer', None, 'Cruiser', 'Submarine', None], [None, None, None, None, None, None, None, 'Cruiser', None, None], [None, None, None, None, None, None, None, 'Cruiser', None, None], [None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None]]"
"[[None, None, None, None, None, 'Cruiser', None, None, None, None], [None, None, None, None, None, 'Cruiser', None, None, None, None], [None, None, None, None, None, 'Cruiser', None, None, None, None], [None, None, None, None, None, None, 'Aircraft_Carrier', None, None, None], ['Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, 'Aircraft_Carrier', None, None, None], [None, None, None, None, 'Submarine', None, 'Aircraft_Carrier', None, None, None], [None, None, None, None, 'Submarine', None, 'Aircraft_Carrier', None, None, None], [None, None, None, None, 'Submarine', None, 'Aircraft_Carrier', 'Destroyer', None, None], [None, None, None, None, None, None, None, 'Destroyer', None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[['Destroyer', 'Destroyer', None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None, None], ['Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, None, None], [None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None, None, None], ['Cruiser', None, None, None, None, None, None, None, None, None], ['Cruiser', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None], ['Cruiser', None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, 'Destroyer', 'Destroyer', None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Submarine', None, None, None, None, None, None], [None, None, None, 'Submarine', None, None, None, None, None, None], [None, None, None, 'Submarine', None, 'Destroyer', None, None, None, None], [None, None, None, None, None, 'Destroyer', None, None, None, None], [None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, None]]"
